iso3,date,obesity_prevalence,diabetes_treatment,polluting_cooking_fuels,hypertension_treatment,mean_years_schooling,expected_years_schooling,alcohol_consumption,life_expectancy
AGO,2011,8.128239950000001,11.14085835,57.5,18.65,2.706722222222222,9.542444444444444,13.9132346255,57.99205555555555
AGO,2012,8.35871265,11.15811895,57.5,19.35,2.826,9.939444444444444,13.9202850925,59.071555555555555
AGO,2013,8.592187599999999,11.18747345,57.45,20.049999999999997,2.948777777777778,10.336166666666664,14.059531001,59.80561111111111
AGO,2014,8.835253250000001,11.2323617,57.45,20.799999999999997,3.0757222222222222,10.73327777777778,13.492186243,60.58894444444445
AGO,2015,9.0918497,11.2944989,57.4,21.45,4.227944444444445,11.130111111111113,12.7483442945,61.253388888888885
AGO,2016,9.36174295,11.37277945,57.45,22.2,4.445111111111111,11.526944444444446,11.7668065185,61.73755555555556
AGO,2017,9.64534345,11.46613265,57.45,22.95,4.530333333333333,11.526944444444446,11.2985918315,62.33183333333333
AGO,2018,9.94290895,11.5734008,57.6,23.75,4.616888888888889,11.526944444444446,10.6082843845,62.800777777777775
AGO,2019,10.25574445,11.7006466,57.7,24.549999999999997,4.705388888888889,11.526944444444446,10.6082843845,63.10788888888889
AGO,2020,10.58485605,11.84524825,57.75,34.85,4.795555555555556,11.526944444444446,7.6456735765,62.91905555555556
AGO,2021,10.93028415,12.00880795,58.05,34.85,4.795555555555556,11.526944444444446,11.3269366655,62.294333333333334
AGO,2022,11.29209535,12.19358795,58.150000000000006,34.85,4.795555555555556,11.526944444444446,11.3269366655,62.58338888888889
ALB,2000,12.7484243,41.7292,59.7,20.75,8.586166666666665,10.612833333333333,8.196315927,75.404
ALB,2001,13.0620215,42.496050999999994,57.25,21.5,8.654416666666666,10.828083333333334,8.196315927,75.639
ALB,2002,13.3883095,43.28035,54.7,22.35,8.717666666666666,10.930333333333332,8.432781741,75.89
ALB,2003,13.7273325,44.075381500000006,52.05,23.1,8.781333333333334,11.2825,8.480852671000001,76.142
ALB,2004,14.0798255,44.8792695,49.45,23.9,8.84475,11.406583333333332,9.110565733,76.376
ALB,2005,14.447208,45.695366,46.95,24.65,8.908166666666666,12.134166666666667,9.613963282,76.621
ALB,2006,14.8320855,46.5220705,44.1,25.35,8.934,12.401833333333334,10.113872675,76.816
